match_no,Batsman,team,Run,Ball,4s,6s,out_by
20,Prithvi Shaw,Delhi Capitals,0,2,0,0,Run Out
20,Mitchell Marsh,Delhi Capitals,0,4,0,0,Wayne Parnell
20,Yash Dhull,Delhi Capitals,1,4,0,0,Mohammed Siraj
20,Manish Pandey,Delhi Capitals,50,38,5,1,Wanindu Hasaranga
20,Abishek Porel,Delhi Capitals,5,8,0,0,Harshal Patel
20,Axar Patel,Delhi Capitals,21,14,3,0,Vijaykumar Vyshak
20,Aman Hakim Khan,Delhi Capitals,18,10,1,1,Mohammed Siraj
20,Lalit Yadav,Delhi Capitals,4,7,0,0,Vijaykumar Vyshak
20,Anrich Nortje,Delhi Capitals,23,14,4,0,Not Out
20,Kuldeep Yadav,Delhi Capitals,7,6,1,0,Not Out
21,KL Rahul,Lucknow Super Giants,74,56,8,1,Arshdeep Singh
21,Kyle Mayers,Lucknow Super Giants,29,23,1,3,Harpreet Brar
21,Deepak Hooda,Lucknow Super Giants,2,3,0,0,Sikandar Raza
21,Krunal Pandya,Lucknow Super Giants,18,17,2,0,Kagiso Rabada
21,Nicholas Pooran,Lucknow Super Giants,0,1,0,0,Kagiso Rabada
21,Marcus Stoinis,Lucknow Super Giants,15,11,0,2,Sam Curran
21,Ayush Badoni,Lucknow Super Giants,5,6,0,0,Not Out
21,Krishnappa Gowtham,Lucknow Super Giants,1,2,0,0,Sam Curran
21,Yudhvir Singh,Lucknow Super Giants,0,1,0,0,Sam Curran
21,Ravi Bishnoi,Lucknow Super Giants,3,1,0,0,Not Out
21,Atharva Taide,Punjab Kings,0,3,0,0,Yudhvir Singh
21,Prabhsimran Singh,Punjab Kings,4,4,1,0,Yudhvir Singh
21,Matthew Short,Punjab Kings,34,22,5,1,Krishnappa Gowtham
21,Harpreet Singh Bhatia,Punjab Kings,22,22,3,0,Krunal Pandya
21,Sikandar Raza,Punjab Kings,57,41,4,3,Ravi Bishnoi
21,Sam Curran,Punjab Kings,6,6,1,0,Ravi Bishnoi
21,Jitesh Sharma,Punjab Kings,2,4,0,0,Mark Wood
21,Shahrukh Khan,Punjab Kings,23,10,1,2,Not Out
21,Harpreet Brar,Punjab Kings,6,4,1,0,Mark Wood
21,Kagiso Rabada,Punjab Kings,0,1,0,0,Not Out
22,Rahmanullah Gurbaz,Kolkata Knight Riders,8,12,0,0,Piyush Chawla
22,N Jagadeesan,Kolkata Knight Riders,0,5,0,0,Cameron Green
22,Venkatesh Iyer,Kolkata Knight Riders,104,51,6,9,Riley Meredith
22,Nitish Rana,Kolkata Knight Riders,5,10,0,0,Hrithik Shokeen
22,Shardul Thakur,Kolkata Knight Riders,13,11,1,0,Hrithik Shokeen
22,Rinku Singh,Kolkata Knight Riders,18,18,2,0,Duan Jansen
22,Andre Russell,Kolkata Knight Riders,21,11,3,1,Not Out
22,Sunil Narine,Kolkata Knight Riders,2,2,0,0,Not Out
22,Rohit Sharma,Mumbai Indians,20,13,1,2,Suyash Sharma
22,Ishan Kishan,Mumbai Indians,58,25,5,5,Varun Chakaravarthy
22,Suryakumar Yadav,Mumbai Indians,43,25,4,3,Shardul Thakur
22,Tilak Varma,Mumbai Indians,30,25,3,1,Suyash Sharma
22,Tim David,Mumbai Indians,24,13,1,2,Not Out
22,Nehal Wadhera,Mumbai Indians,6,4,1,0,Lockie Ferguson
22,Cameron Green,Mumbai Indians,1,1,0,0,Not Out
23,Wriddhiman Saha,Gujarat Titans,4,3,1,0,Trent Boult
23,Shubman Gill,Gujarat Titans,45,34,4,1,Sandeep Sharma
23,Sai Sudharsan,Gujarat Titans,20,19,2,0,Run Out
23,Hardik Pandya,Gujarat Titans,28,19,3,1,Yuzvendra Chahal
23,David Miller,Gujarat Titans,46,30,3,2,Sandeep Sharma
23,Abhinav Manohar,Gujarat Titans,27,13,0,3,Adam Zampa
23,Rahul Tewatia,Gujarat Titans,1,1,0,0,Not Out
23,Rashid Khan,Gujarat Titans,1,1,0,0,Run Out
23,Alzarri Joseph,Gujarat Titans,0,0,0,0,Not Out
23,Yashasvi Jaiswal,Rajasthan Royals,1,7,0,0,Hardik Pandya
23,Jos Buttler,Rajasthan Royals,0,5,0,0,Mohammed Shami
23,Devdutt Padikkal,Rajasthan Royals,26,25,2,2,Rashid Khan
23,Sanju Samson,Rajasthan Royals,60,32,3,6,Noor Ahmad
23,Riyan Parag,Rajasthan Royals,5,7,0,0,Rashid Khan
23,Shimron Hetmyer,Rajasthan Royals,56,26,2,5,Not Out
23,Dhruv Jurel,Rajasthan Royals,18,10,2,1,Mohammed Shami
23,Ravichandran Ashwin,Rajasthan Royals,10,3,1,1,Mohammed Shami
23,Trent Boult,Rajasthan Royals,0,1,0,0,Not Out
24,Ruturaj Gaikwad,Chennai Super Kings,3,6,0,0,Mohammed Siraj
24,Devon Conway,Chennai Super Kings,83,45,6,6,Harshal Patel
24,Ajinkya Rahane,Chennai Super Kings,37,20,3,2,Wanindu Hasaranga
24,Shivam Dube,Chennai Super Kings,52,27,2,5,Wayne Parnell
24,Ambati Rayudu,Chennai Super Kings,14,6,1,1,Vijaykumar Vyshak
24,Moeen Ali,Chennai Super Kings,19,9,0,2,Not Out
24,Ravindra Jadeja,Chennai Super Kings,10,8,0,1,Glenn Maxwell
24,MS Dhoni,Chennai Super Kings,1,1,0,0,Not Out
24,Virat Kohli,Royal Challengers Bangalore,6,4,1,0,Akash Singh
24,Faf du Plessis,Royal Challengers Bangalore,62,33,5,4,Moeen Ali
24,Mahipal Lomror,Royal Challengers Bangalore,0,5,0,0,Tushar Deshpande
24,Glenn Maxwell,Royal Challengers Bangalore,76,36,3,8,Maheesh Theekshana
24,Shahbaz Ahmed,Royal Challengers Bangalore,12,10,0,1,Matheesha Pathirana
24,Dinesh Karthik,Royal Challengers Bangalore,28,14,3,1,Tushar Deshpande
24,Suyash Prabhudessai,Royal Challengers Bangalore,19,11,0,2,Matheesha Pathirana
24,Wayne Parnell,Royal Challengers Bangalore,2,5,0,0,Tushar Deshpande
24,Wanindu Hasaranga,Royal Challengers Bangalore,2,2,0,0,Not Out
25,Rohit Sharma,Mumbai Indians,28,18,6,0,T Natarajan
25,Ishan Kishan,Mumbai Indians,38,31,3,2,Marco Jansen
25,Cameron Green,Mumbai Indians,64,40,6,2,Not Out
25,Suryakumar Yadav,Mumbai Indians,7,3,0,1,Marco Jansen
25,Tilak Varma,Mumbai Indians,37,18,2,4,Bhuvneshwar Kumar
25,Tim David,Mumbai Indians,16,11,2,0,Run Out
25,Harry Brook,Sunrisers Hyderabad,9,7,2,0,Jason Behrendorff
25,Mayank Agarwal,Sunrisers Hyderabad,48,41,4,1,Riley Meredith
25,Rahul Tripathi,Sunrisers Hyderabad,7,5,1,0,Jason Behrendorff
25,Aiden Markram,Sunrisers Hyderabad,22,17,1,1,Cameron Green
25,Abhishek Sharma,Sunrisers Hyderabad,1,2,0,0,Piyush Chawla
25,Heinrich Klaasen,Sunrisers Hyderabad,36,16,4,2,Piyush Chawla
25,Abdul Samad,Sunrisers Hyderabad,9,12,1,0,Run Out
